ProteinID,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,NoGp_1,NoGp_2,NoGp_3,NoGn_1,NoGn_2,NoGn_3
Q53EL6,276.4,204.7,612.2,139.4,340.3,213.5,296.8,216.9,272.3,227.2,229.6,658.1,154.7,149.8,181
Q9BZM4,116.1,95,141.2,183.7,118.7,78.1,95.7,96.1,142.7,93.7,63,116.5,52.4,27.6,36.1
Q9BRU2,39.1,77.8,39.7,55.4,48.4,29.7,40.3,70.7,36.8,41.9,69.5,50,129.9,213.6,199.9
Q8N257,1881.8,1285.3,2772.4,1110,3079,1839.2,1986.3,1154.7,2618.5,2907.9,727.3,1636.4,599.8,913.7,829.6
Q9NVX2,152.2,95.8,61.7,185.7,58.2,111,135.8,114.6,69.5,97.4,80,90.4,128.3,137.5,139
P78406,492.6,288.6,173.7,814,170.9,348,411.9,355.3,210.7,355.8,247,302,327.1,265.8,261.8
Q52M93,321.6,159.5,256.9,252.1,263.8,284.4,355.5,213.8,172,217.2,167.9,222.4,65.2,53.6,63.7
Q9Y672,28.1,21.8,11.9,33,10.1,23.8,21.7,23,18.8,18.5,14,14.7,24.7,20.1,22.3
P04439,120.2,110.6,150,119.4,159.3,79,131.3,115.8,140.3,120.7,140.8,165.3,50.4,37.7,41.2
P42025,16.9,4,5.2,10.8,3.7,9.1,7.8,5.8,4.8,11.9,6.5,5.6,4.6,5.5,6.7
O75486,135.3,27.4,73.1,39.6,35.2,90.8,97.8,34.8,43,61.5,26.8,54.4,37.8,43.1,32.3
Q8TAP8,79.6,84.3,83,51.4,85,65.1,75.4,59,95.1,74.6,71.2,77.6,25.2,16.4,20.9
P09629,109.8,50.6,63.2,59.5,49.7,96.6,104.3,40.1,54.5,74.1,33,63.7,26.2,25,26.4
Q14254,224.6,201,176.4,441,134.7,161.9,205.8,235.4,209.6,182.7,197.7,278.1,239.2,175.9,218.9
Q8ND82,136.2,104.6,126.7,170,147.1,134.4,129.9,146.9,166.1,163.3,110.4,130.9,88.4,76.2,79.1
Q3ZCQ8,154.3,115.9,92.9,265.3,76.2,137,129.5,134.3,102.5,145,94.3,104.5,186.1,112.3,118
Q9Y6X8,50.4,33.8,65.7,34,55.2,46.2,45.8,37.3,58.2,46,26.2,39.7,18.9,30.8,28.2
Q06830,981.3,399.5,976.4,381.9,514.3,768.1,873.3,517.5,401,668.3,385.1,875.3,246.7,368.4,218.7
Q6DKI1,116.1,77.7,48.2,167,30.8,96.8,94.7,81.8,47.4,91.4,73.1,61.5,128.9,81.9,107.7
P17612,44.8,21.7,22.1,56.4,16.6,38,47.3,33.3,30.6,20.7,26.6,30.1,32.3,21.5,27.6
Q15650,20.8,6.6,12.2,16.2,4.9,10.8,8.5,11.5,8.9,9.4,8.7,18.7,9.6,15,8.5
Q7Z6V5,17.4,24.3,20.2,15.8,19.7,17.1,18.9,28.9,22,18.1,21.9,19.2,22,32.3,32.7
Q49AM3,29.6,16.2,38.1,16.5,22.9,26,27,16.5,16.4,23.4,18.3,46.3,13.2,15.7,15.7
P63010,285.9,226.1,135.9,329.6,115.1,215,266.7,253.2,170.4,215.9,205.6,238.4,301.3,185.2,237
Q9H3P2,327.7,180.6,314.9,148.7,213.6,237.7,341.5,206,222,267.7,163.9,224.8,120.8,131.1,137.9
Q15819,363.2,109.3,247.9,113,151.7,293.7,273.9,122,114.8,225.5,99.5,235.5,77.1,36.3,37.7
P82921,28.7,22.8,14.5,68.1,15.4,25.9,23.8,27.1,26.7,26.5,21.9,26.6,24.7,14.5,16.8
P62745,116.9,45.1,108.3,109.8,92.2,86.7,81.5,67.2,79.2,69.9,65.3,147.5,52.5,15.9,34.8
P22531,17.9,20.8,29,30.5,21.8,7.8,18.8,33.3,39.9,10.7,49.1,29.6,21.5,77.6,45.8
Q8IWT6,7.4,5.7,7.8,11.5,7.2,8.7,10.6,8.3,6.2,3.9,8,7.9,4.5,6.6,4.2
A0AVT1,134.8,79.5,62,87.9,36.4,100.8,114.4,68.8,53.9,82.4,81,110.6,111.9,67.5,102.4
Q8IX18,72.3,54,29.1,84.8,23.8,55.7,62.6,50.9,36.9,45.3,47.9,40.7,64.6,29,38
Q13492,87.9,66.2,74.7,36.4,59,64.6,101.3,83.8,72.7,53.8,101.8,110.5,21.1,11.6,22
Q8N4S0,12.1,8.1,9.5,9.2,11,7.5,12.7,10.9,10.5,9.1,8.5,11.5,6.3,16.3,12.2
Q9UK58,14.9,7.8,13.2,10.5,13.5,10.3,14.5,13.4,11.5,16.6,12.6,14,3.8,4.3,3.1
P11177,161.1,137.2,98,436.9,74.6,129.4,121,185.4,110,128.5,130.8,134,160.7,110.3,117.3
P51531,12.2,10.7,7.9,15.2,11.8,10.2,16.7,8.1,12.2,13.4,13,11.5,8.3,5.3,12.1
Q96KQ4,29.9,23.6,27.5,23,22.6,20.5,26.2,22,24.1,21.5,26.5,37.8,21.2,19.2,32.5
Q9Y548,28.4,10.5,14.9,9.8,10.4,21.2,20.7,11.3,16.6,11.4,8.9,10.3,12,8.4,7.7
Q06210,67.4,42.7,33.1,58,29.2,63.7,58.5,46.4,27.8,56.2,34.3,49.2,50.5,28.2,38
P55084,432.9,273.7,193.3,785.8,193.5,361.6,358.1,393.7,225.2,351.8,253.3,273.6,299.9,162.7,196.2
P68400,12.3,13.4,7.6,27.2,11.6,13.1,9.1,13.6,14.6,17.9,13.6,14.3,16.9,16.2,16.5
P46782,1066.8,621.5,825.3,905.9,1101.8,827.1,1124.3,782.9,873.9,1031.8,465.6,528.3,246,251.3,225.4
O60245,61.5,51.5,86.4,69.6,120.7,48.5,61.3,64.5,104.4,71.3,88.1,70.3,26.6,25.9,28.5
Q07955,523,405.1,477.7,269.9,519.2,521.8,606.7,451.9,478.7,629.6,268.6,266.3,128.5,142,149.4
P57768,58.4,32.6,67,31.2,54.5,46.3,52.2,37.2,59,49.7,38.7,61.6,20.6,25.6,20.1
O75781,28.6,41.8,46.8,45.8,45.2,21.9,31,59.8,59,36.3,77.9,50.5,18.5,31.2,19.7
P56177,41.1,33,48.8,28.4,40.5,34,46.1,44,39.1,44.1,31.9,32.3,18.7,28.3,30.8
Q13144,48.4,30.8,34.3,44.4,20.9,49.4,48,33.2,34.3,32.1,24.7,35.9,39.9,23.4,20
O15078,242.6,146.2,153,172.5,100,168.8,186.1,152.1,126.1,160.4,134.1,164,146.6,114.5,120
Q9BVV6,41.7,28.8,25.8,28.6,25.8,36,41.9,31.7,21.8,31.2,30.5,42.4,37,30.6,39.3
P29590,242.3,133,246.6,213.1,230.8,167.2,214.9,150.7,206.1,282.7,128.7,203,82.4,104.7,85.8
Q6XE24,74.2,76.2,78.1,56.7,63.8,60.2,73.3,73.7,65.9,71.6,79.1,80,29.7,43.7,38
O14979,1160.2,1566.4,1640.3,829.8,1691.8,1032.8,1484.4,1492.1,1705.5,1281,1027,1027.9,239.9,235.8,307.3
P08582,27.6,29.3,33.6,63.2,26.3,15.8,23.1,34.1,33.4,22.4,33.9,38.7,38.2,24.3,26.5
Q9Y3F4,142.7,71.4,73.7,126.6,66.8,112.4,111.5,96.8,83.1,110.1,72.2,101.3,99,105.1,73.7
P63313,12.1,19,17.6,12.9,19.3,15,18.1,18.4,19,16.7,26.8,13.7,12.7,17,13.2
Q07960,32.9,24.9,23.2,25.8,13.6,18.3,28.7,23.2,9.1,13.5,23.1,30.3,34.9,30.3,31.5
Q96ST2,87.8,64.3,93.6,55.7,100.2,75.6,104.3,71.6,110.3,81.5,46.1,65,29.2,47.8,28.6
Q92769,85.6,60.4,40.3,97.5,38.8,67,69.8,71,49.6,53.8,57.8,58.7,60.3,45.7,47.6
Q14934,31.9,30.3,28.4,21.1,26.3,23.1,29.6,22.5,25.8,25.5,32.2,33,26,21.9,24.7
P15309,14.1,21.5,22.9,24.6,14.6,11,14.2,17.4,16.7,12.5,31.9,19.5,35.2,77.7,40.6
O95239,117.8,107.8,89.4,105,99.4,90.7,121.8,127.6,77.8,92.9,135.8,120.1,113.9,82.3,95.5
Q8N6R0,110.3,46,41.4,43.3,24.1,76.4,77.2,46.5,32.6,50.1,54.1,34.5,67.5,66.1,60.7
Q86Y56,261.3,111.2,110.1,188.3,63.9,196.5,212.6,112.6,94.1,160.2,121.6,198.8,122,73,89.2
Q8N6H7,90.9,37,92.3,41,67.5,78.9,108,57.7,75.7,84.1,51,91,35.3,54.5,48.6
Q9NUP9,4.7,2.8,5.9,5.8,4.8,2.5,2.8,0,3.5,3.4,3.7,3.3,5.6,4.5,3.5
Q08379,289.6,159.3,352.9,215.1,315.9,203.8,270.7,174.3,367.3,270.3,201.3,405.4,116.1,123.8,113.4
Q96GY3,15.7,22,18.6,18.8,17.6,17.9,30.4,24,14.2,16.8,19.3,16,15.7,22.4,17.7
Q8TEU7,112.2,50.7,96.6,49.5,70.5,77.7,117.6,69.8,76.4,67.2,71.2,102.9,49.8,52.9,47.7
P78316,763.4,463.9,537.9,403.5,636,670.2,789,428.5,571.2,842.6,292.8,275.2,160.1,207.2,205.4
P55265,1087.1,671.8,695.2,1077.4,750.4,875,1004,785.3,765.1,1023,549.1,636.8,425.1,383.5,402.4
A8MWD9,9,10.4,8.1,14.4,7.2,10.1,10.7,9.2,9.9,15.6,6.4,6.5,11.7,9.4,12.8
Q8IVM0,82.1,144.4,121.9,91.4,140.6,74.1,93.2,176.1,174.4,100.3,177.2,106.6,51.4,83.3,72.2
Q9NXV2,96.3,36.4,99.3,26.1,88.7,82.8,91.9,38.7,68,92.3,32.6,70.5,24.4,32.1,22.5
Q9UBV2,158.7,103.2,116,139.3,105.1,134.6,161.1,144.1,147.3,121.9,102.7,124.1,127.1,141,128.5
Q9Y535,14.3,4.3,8.8,11.4,3.8,15.7,10.4,8,6.9,10.9,5.7,12.7,7.1,2.3,3.4
P27105,72.4,88.5,41.5,117.7,48.2,62.2,59.2,94.8,58.4,54.3,74.7,68.8,116.2,132.8,120.3
Q9H582,44.6,27.5,45.2,47.4,52.7,40.1,46.4,24,50.7,55.2,25,42.8,12.4,20,13.3
Q53GS7,321.6,137.4,223.5,264.5,161.2,182.9,224.1,165.7,195.1,213.1,112.8,340.3,134.3,97.7,111.9
P31431,10.3,19.1,16,15.2,12.1,14.4,9.6,18.9,18.5,11.9,26.5,20,10.3,18.1,16.2
Q68CQ7,38.7,25.5,22.7,34.1,21.7,25.2,37.6,25.8,31.8,37.6,27.2,33.3,38.1,31.9,25.9
Q6P1X5,59.6,52.3,33.5,114.2,33.9,51.1,49.3,63.9,29.4,45.3,46.9,43.5,55.9,28.9,34.9
Q9BTU6,295.3,98.2,138.9,225.7,86.8,213.2,225.6,133.7,122.6,109,118.4,148.6,108,56.3,69.2
Q9Y6A4,234.8,131.8,87,383.6,83.1,189.7,179.4,161.9,104.6,189.1,113.5,131.3,164,79.6,98.2
P0DMU9,222.6,159.1,213.8,189.3,252.9,195.6,220.8,200.7,253.5,214.2,137.5,165.6,31.5,32.3,30.6
Q9H4A3,174.9,73.1,161.3,75.1,105,140.4,157.7,93.9,117.2,133.5,99.3,194.2,66.3,82.6,79.3
Q14129,37.2,28.2,50.1,24.5,43.3,32.8,46.5,31.3,40.2,36.9,27.5,37.6,18.7,30.8,24.2
Q9NPG3,38.9,26.1,37,32.3,45.2,32,33.8,33.9,37,47.7,25.5,38.4,18.3,22.4,24
Q9H6Z4,72.2,31,79.2,25.5,50.9,52.4,65.9,34.1,44.3,65,30.5,59.8,22.1,28.9,19.1
Q9UHF7,182.6,107.9,165.1,162.1,150,132.7,185.5,151.8,134.3,164.5,88.4,136.5,43,35,48.6
Q9UDW1,20.7,18.6,13.5,39.6,10.4,14,14.8,22.9,13.2,17.5,15.9,20,16.3,15.4,15.5
Q8NEZ2,55.9,19.9,64.3,26.6,35.7,52.1,70.3,40.4,39.8,47.6,26.9,96.4,31.5,41.7,49.3
P02814,5.3,32.4,10.9,11.3,12.6,5.7,7.6,21.6,15.7,6.1,24,15.6,19.4,42.7,45.6
Q12830,197.1,101.9,149.8,165.8,119.1,150.2,161.3,108.8,142.6,197.8,89.6,157.7,82.7,81.5,89.9
O14519,126.3,205.1,200,121.3,274.4,145.1,191.1,249.4,291.9,180.9,149.7,114,40.4,37.5,39.8
Q6I9Y2,60.6,17.5,51.1,25,31.7,43.9,50.5,22.5,37.2,46.4,16.9,32.5,18.6,20.7,21.5
Q9NQ50,10.3,31.7,18.1,21.4,23.4,9.7,16.8,27.9,25.6,17.6,29.9,17.1,28.7,38.6,38.6
Q13049,38.8,18.2,15.6,43.2,10.9,32.7,26.4,25.8,15.1,23.6,21.2,21.6,20.9,13,9.8
Q9P2R3,28.5,28.6,16.8,28.5,15.4,22.1,25.2,28.6,22.8,24.2,16.9,21.8,30,34.1,29.9
Q16864,6.3,4.5,6.8,0,6,4.9,7.8,3.5,4.2,0,6,4.6,3.9,5.1,5
Q9NRX4,48.4,49.6,81.7,40.7,70.5,44.6,60.7,63.5,64.2,46.1,57.5,107.3,41.9,56.7,56.6
Q9Y3C6,583,250.2,280.6,750.2,195.8,444.1,463.9,343,224.1,431.4,173,357.5,252.2,149,153.2
O75150,542.9,246.7,377,331.1,251.7,513,468.1,286.2,257.6,405.1,240.2,270.3,224,204.7,175.4
O95248,4.4,3.5,3.3,9,2.4,2.5,3.2,0,0,5.5,3.2,5,5.2,4.1,3.6
Q96BW9,62.6,55,41,139.7,32.8,55.4,54.8,78.2,43.5,58.7,42.1,47.3,83.3,52.2,38.7
Q9BZD6,15.7,15.1,18.5,12.3,15.8,13.3,18,15.2,16.3,15.1,20.5,20,13.7,20.8,33.2
Q969X5,38.9,23.2,23,62.2,24.8,38,33.7,32.7,34.1,39.9,21.2,38.5,35.5,30.8,24.4
P68363,2632,1096.4,1567.6,1317.1,819.9,1719.6,1843.1,1152,838.8,1465.7,1224.3,2458.4,1484,852.8,950.7
P23634,257.6,178.5,212.7,298,171,189.3,243.2,225,227.6,202.5,209.3,265.8,218,171.9,223.4
P43490,14.7,12.8,11.5,17,8.3,14.8,11.5,16,7.7,8.2,12.7,11.5,24.7,24,22.6
P51858,237.1,266.8,348.1,245.1,469.7,236.9,297.3,270.1,527.8,309.7,208.3,226,130.1,183.9,168.3
Q9H425,38.6,34.5,44.3,31.7,49.9,27.8,33.5,35.7,49.9,32.4,44,38.4,16.3,25.2,38.4
Q9ULX3,53.3,42.6,24.7,56.3,27.6,47.1,49.7,49.3,37.7,36.4,45.6,34,54.5,56.2,56.6
P04083,79.6,87.5,74.7,80,47.3,34.2,52,161,84,235.2,31.2,326.8,5949.5,244.3,152.2
Q9HC07,228.1,141.4,154,269,124,189.8,208.9,198.7,201.5,207.3,121.7,187.9,156.1,131.5,137.8
Q9UI36,224.2,311.5,262.1,219.6,342.1,202.9,252.4,342,326.9,329.4,218.4,147.5,79.4,91.3,97.9
O43491,969.8,623.6,926.8,790.9,830.7,740.3,871,696.2,903.7,865.5,673.2,1081.9,456.3,443.4,496.3
O00488,23.8,27.9,14.1,19,33.7,19,24.7,21.7,31.9,36.2,13.9,6.4,11.8,18.8,11.1
Q14689,8.9,12.3,6.3,11.7,8.2,3.4,5.4,9.9,14,9.8,22.2,11.4,12,9.1,20.8
Q9Y483,33.5,15.6,17,47.1,12.7,23.1,25.7,26.9,17.7,30.3,23.4,16.3,17,13.4,16.2
Q6P5R6,27.3,16.8,29.2,21.9,25.2,24.5,28.1,19.8,26.8,30.2,18.4,28.6,16.9,24.4,19.8
Q9HDC9,79.2,55.2,48.6,87.2,37,50.7,61.8,62.4,43,59.7,49.4,66.1,82.2,67.4,97
Q16740,78.3,93.6,66.2,205,60,63.5,77.1,114.3,108.3,84.6,79.7,91.5,108.3,90.2,96.2
Q9BQE4,441.4,607.4,345.2,357.7,546.3,380.6,499.2,565.4,579.4,482.2,623.7,328,116.9,105.7,121.6
Q15652,101.1,89.3,85.6,113.3,98.4,89.2,99.6,103.8,85.1,95,93.2,74.3,78.1,94.6,91.1
O95684,253.9,138.4,300,111.7,243.3,209.3,286.5,175.6,275.9,218.7,227.6,276.8,56.3,60.7,58.4
P49768,40.6,71.6,49.6,56.7,47,39.7,42.4,87.9,62.4,41.4,83.9,47.9,29.3,32.3,35
Q99700,408.5,247.1,438.1,215.3,351.9,365.2,414.2,248.9,311.1,343.8,361.1,432,98.7,82.3,103.3
Q14320,551.6,390.5,575.9,238.1,631.9,580.2,616.3,425.4,622.4,693.9,284,385.8,131,215.7,181.6
Q9Y277,719.9,433.3,311.6,1251.2,276.9,527.4,585.5,592,385.8,579.3,334,448.5,448.5,275.4,281.7
Q969V3,151.5,123.6,111.1,264,80.6,139.1,143.7,148,140.6,148.8,99.9,136.4,165.1,118,118.5
P54577,143.7,76.5,86.3,73.6,53.8,80,92.3,76.4,57.4,101.1,71.5,141.4,71.4,46.8,72.7
O60493,38.4,36.7,43.8,23.3,44.5,38.6,50.8,20.7,52.7,53.1,21.3,29.5,13.8,44.7,10.3
O15269,331.1,246.9,194.7,458.5,187.2,249.7,304.5,309.4,286.2,318.5,222.6,282.4,273.1,154.4,185.9
P19634,2.1,0,0,0,0,0,0,2.4,0,2.1,0,0,0,0,0
Q9BS26,115.1,85.1,72.7,187.2,60,98.6,100.8,114.3,66.6,106.6,66.5,87.5,100.7,109.5,95.8
O60231,110.5,83.3,82.3,89.5,77.2,104.9,88.9,73.5,98.2,111.4,49.4,64.5,78.9,54.7,51.6
Q66K14,75.5,61.3,69.9,57,34.2,55.5,63.1,59.9,36.2,56.1,62,94.9,69.6,71.5,72.6
Q9UPU7,17.4,6,9.7,9,6.6,9,11.5,8.6,8.3,8.5,7.2,12.3,9.7,9,9
P23526,73.7,43.2,29.5,93.3,28.8,54.3,41.3,58.8,45.6,50.7,38.6,42.2,52.7,51.1,56
Q16186,48.1,21.9,36.6,25.8,14.9,34,40.1,19.8,24.2,20.8,21,48,27.1,15.1,17.2
Q96MF7,53.6,32.7,49.3,38.8,50.4,44.8,41.1,36.6,48.5,68.5,33.5,31.6,27.4,37.3,32.5
O94952,17.9,17.2,8.6,25.2,6.7,16,18.5,14.4,10.8,15.3,13.2,8.9,14.7,13,9.9
Q8N3X6,81.2,62.5,113.1,69.8,97.7,76.9,97.7,61.8,100,83,49.5,83.7,20.8,18.1,20.5
Q15773,17.4,10.9,13.3,16.4,9.7,13.6,14,13.7,11.7,14.9,12.8,20.3,12.1,13.4,13
Q6PD62,222.6,97,127.3,161.7,101.1,171.5,168.8,111,116.5,188.6,84.7,123.4,72.2,59.6,58.9
Q92830,13.8,12.2,8.6,21.9,7.1,11.6,11.1,12.4,11.2,11.9,11.3,11.7,16.9,23.8,21.3
P78411,14.5,24.3,8.4,10.8,16.2,11.3,9.6,17.3,18.2,26.3,14.9,8.7,19.9,64.5,23.9
Q9BQE9,139,69.3,133.3,55.1,163.7,111.4,146.2,67.3,163.2,123,55.4,82.1,19.6,17.9,15.6
Q8NFZ8,9.2,27.2,18.6,22.6,20.8,6.1,8.3,16.8,20.1,8.5,15.5,15.4,7.3,5.4,5.9
P50148,9.7,6.2,6.1,16.2,3.3,7.7,6.3,13.6,10.7,4.7,7.3,9.3,8.7,6.7,7.8
Q6NUQ4,110.6,116.8,79.3,253.4,83,85.1,93.4,148.3,104.2,107.7,136.4,117,140.2,75.1,108.7
Q15390,240,162.8,281.8,236.9,278.9,171,216.8,201.3,276,235.6,188.6,286.6,81.5,88.6,91
Q9H9J4,280.4,227.1,213.2,201,267,235.8,250.1,222.7,235.7,311.6,182.6,129.5,87,246.7,153.9
Q8NEZ4,75.6,75.3,76.7,67.4,81.5,59.1,84.6,87.8,123.5,99.5,64.8,51.4,34.1,30.2,27.6
Q9ULJ8,92.9,102.7,109.1,91,116.6,70,102.1,112.7,109.4,91.4,113.1,120.6,142.9,164.2,189.1
O95785,259.5,315.3,261.7,305.3,275.4,199.5,276.2,309.7,310,301.6,284.4,247.4,283.7,386.2,407.8
P25490,246.2,196.5,357.8,157.4,482.1,285,307.3,206.1,455.7,280.3,133.9,172.5,65.2,43.6,53
Q01968,30.9,21.3,20.9,24.7,16.4,33,25.2,22.2,26.3,28.9,19.6,22.3,26.1,16.2,19.7
P00491,9.7,24.5,12.4,31.6,11.5,6.4,12.3,26.1,15.1,11.7,33.5,14.7,46.3,24.6,37.9
Q96NI8,19.2,17.5,15.7,30,15.1,12.3,22.8,17.1,20,16.8,21.4,20.7,14.3,16.1,17
Q8N4C6,47.5,27.2,47.4,18.3,41,38.4,39.5,28.4,39.4,47.5,34.1,42.8,25.3,25.8,28
Q9NQS7,579.7,432.9,390.1,567.3,412.5,451.3,494.6,491.2,331.6,478.8,440.4,413.3,464.4,511.2,509.6
P0DOX7,25.1,40.3,29.7,38.2,38.2,11.5,26.3,28.1,27.9,23.7,67.2,45.1,335.5,82.2,101
Q14442,5.6,8.9,5,7.2,7.2,5,4,4.8,6.3,8.7,6.7,2.8,2.9,3.9,3.6
Q9Y399,197.5,156.6,105.1,565.1,99,162.3,147.2,226.7,140.9,178.4,119.9,147,215.2,75.3,107.4
O75342,44.4,58.8,49.1,62.2,43.6,17.4,41.5,69.6,82.5,28.1,71.4,50.8,66.6,134.9,112
Q9Y2Q5,76.9,34.5,65,72,49.3,57,74.4,55.1,40.8,54.5,26.5,107.3,25.3,19.5,22.6
Q9BW71,89.3,91.6,115.9,90.3,115.8,83.8,94.9,79.6,95.8,99.4,61.5,65.8,41.9,62.7,56.5
Q5KU26,7,10,7.7,7.7,11.7,7.3,10.8,7.4,11.1,11,7.1,10.7,4.7,16.6,10.2
O60826,21,9.5,10.8,14.5,8.9,15.4,17.2,9.8,10,17.5,10.5,15.3,9.7,10.5,8.5
Q9BWU0,134.4,75.9,125.1,50.8,130.1,124.7,159.3,76,135.1,98.2,57.2,81.9,23.3,22.1,25.4
P12004,42.6,52.8,39.1,63.9,31.1,43.6,42.5,53,38.3,53,43.9,43,56.2,51.4,54.1
P31930,237.9,178.4,92.7,605.8,94.4,194.9,156.1,274,121.5,234.4,137.8,128.1,207.2,98.5,111.5
Q5T481,35.3,28,41.8,23.4,37.4,27.8,38.7,29,36.8,38.4,20.5,34.9,12.8,17.4,21.5
Q9H1I8,300.1,115.5,284.2,141,164.9,210.5,291.7,162.5,144.4,173.1,144.2,440.6,109.6,102.7,138.2
Q9BV86,440.7,120,443.6,152.9,179,316.5,350.1,111.7,137.4,252.9,90.3,399.1,96.8,81.3,82.9
Q96SI9,41,21.6,26.2,34.7,23.5,30.6,37.9,29.5,28,21.6,29.2,30.8,24.6,19.7,25.7
O14602,470.6,238.5,666.9,197.8,559,468.4,544.7,245.8,444.8,435.5,208.8,524.3,172.1,218.6,183.9
Q8N8D1,18.9,23.2,19.9,22.8,18.2,23.6,18.6,33.7,20.5,21.1,31,19.4,37.6,45.5,45.1
Q9Y6H1,101.3,72.2,132.9,61.6,182.1,90.4,108.2,73.5,166.6,197.4,70.3,85,25.3,29,34.8
A0A183,10.6,23.6,31.9,30.3,31,10.5,14.8,30.1,43.3,20.9,33.3,23.8,17.5,40.9,30
O60281,44.5,29.1,37.4,32.5,22.6,31.5,36.8,30.7,35.1,34.3,33.7,42.2,18.5,32.3,27.6
Q12981,40.8,41.4,34.7,39.6,32.9,24.2,38.9,40.9,45.3,37.2,28.5,31,27.8,37.4,38
P06899,1961.6,1345.7,2903.6,1167.3,3220.8,1921.9,2081.7,1215.5,2738.9,3034.8,764.3,1706,621.9,943.6,868
P57076,29.8,14.8,29.2,16.8,16.6,14.8,18.3,13.9,10.9,19.6,14.8,28.4,12.3,12.3,12.8
Q7Z7H8,43.9,38.4,20.7,107.3,15,32.2,34.6,48.1,24.1,36.8,28.4,40.8,52.2,24.3,33.8
P13928,7.9,8.7,5.5,12.4,9,4.2,10.1,11.2,10.6,6.1,11,9.2,47.8,30,19
P41212,8.4,4.7,9.4,26.1,10.3,9.5,12.8,8.3,12.6,10,4.1,8.4,6.8,3.5,3.3
Q6P3V2,321.6,159.5,256.9,252.1,263.8,284.4,355.5,213.8,172,217.2,167.9,222.4,65.2,53.6,63.7
Q9Y5T5,78.7,52.1,63.1,59.2,53.2,57.1,71.9,59.8,64.4,52.2,60.1,73.3,40.1,48.8,43.3
Q02224,304.8,146.2,180.5,238.7,141.2,210.3,258.4,143.5,140.6,242.7,131.7,219.3,202,152.3,120.2
P24666,195.2,100,214.2,128.3,128.7,160.3,178.2,158.8,102.9,167.9,91.7,230.9,49.4,50,61.1
P14868,106.1,81.3,46.3,102.5,35.5,85.4,78.3,93.9,56.9,84.7,83.2,73,122.5,79,89.9
O15126,219.3,395.7,285,364.5,254.1,183.7,242.6,475.8,267.5,228.2,714.7,367.2,115.2,119.2,122
Q6P6B1,5.3,5,6.4,5.9,11,6.9,4.5,8.8,7.9,8,8.9,11,4.9,11.7,7.5
Q8N6N3,151.5,181.1,187,109.2,321.6,138.2,185.2,166.9,276,259.3,104.9,94.5,49.1,67.9,61.9
Q14568,283.8,90.4,86.6,75.4,67.9,211.7,197.3,81.7,65.1,143.4,98.2,115.5,124.5,111.6,102.6
Q9NR09,104.8,75.7,65.5,68.2,59.8,88.4,86.8,73.3,60.1,84.6,65.2,82.7,76.2,108.1,83.6
Q15527,35.6,10.6,19,11.3,25.2,24.7,30.3,12.5,29.7,21.6,12.2,10.7,10.7,9.4,8
Q9NVK5,126.8,99.1,207.8,85.5,242.8,132.5,143.3,95.2,231.7,177.7,86.3,195.2,44.4,43,47.4
Q9H694,28.4,31.4,33.6,17.5,25.5,22.3,24.1,29.2,35.8,23.6,29,33.1,23.5,28.8,25.3
Q9UFW8,114.3,191.3,150.9,136.5,188.1,104.8,133.5,188.1,209.6,174.2,127.8,94,41.4,44.4,46.5
Q9H4A4,35.3,38,27,127.5,36.5,26.9,29.8,66.1,46.6,31.3,37.3,38,66.8,43.2,39.6
Q8N954,18.6,13.3,15.2,12.1,17.1,17.1,27.6,13.6,18.4,18.6,7.2,21.8,6.5,3.7,7.5
P62140,352.2,153.3,124.7,616.4,91.8,225.5,254.1,234.6,101.9,229.7,126.9,173.6,211.8,94.8,117.3
Q6UX04,207.4,146.4,264.8,120.9,288.4,231.4,262.8,166.1,323.5,281.1,95.2,148.1,65.2,64.6,50.1
Q9H446,131.7,40.3,141.5,30.8,77,107.3,125.3,46.2,60.5,98,45.3,138.1,12.1,19.5,7.1
Q14344,189.6,154.5,113.4,388.2,94,150.1,158.1,183.9,133.7,157.9,130.5,145.9,201.1,148.9,140.3
Q6PML9,30.3,23.3,19.1,60.7,17,20.2,28.2,42.6,21.7,27.7,24.5,30.5,38,16.8,28.8
Q6P2E9,444.4,220.2,362,278,246.3,325.4,376.1,260.8,312.9,329.2,247.5,469.2,238.9,190.3,241
P49790,707.9,340.8,639.6,597.4,740.4,572,703.5,397.9,804.2,859.5,315.4,538.1,215.4,181.4,199.1
Q5VSL9,34.8,15.1,16.7,25.4,10.8,25.4,23.6,24.1,23.6,17.2,12,20.9,20.6,14.2,18.2
P48047,175.3,114.9,90.1,304.4,78.7,135.1,134.2,164.7,106.7,159.1,101,115.3,137.8,95.6,97.1
Q9NWB1,43.9,53.3,97,21.2,78.2,48.9,62.5,52.2,65.2,62.9,26.6,56.9,15.6,17.8,14.9
Q8IXW5,298.1,117.3,194.8,144.1,136.6,199.1,217.3,101.9,107.9,155.8,243.4,217.6,126.5,70.4,60.3
Q9NU22,542.5,404.1,401.7,670.6,392.1,499.8,568.4,415.6,471,511.9,315.1,357.6,317.5,225.6,248.4
Q9UKN8,148.6,96.9,77.2,149.6,60,118.4,118.8,113.1,83.9,99.7,79.2,122.4,117.3,90.8,92.4
Q99456,60.6,88.4,69.1,84.2,54.2,45.8,64.1,89.7,69.8,61.9,110,71.9,114.8,122.7,173.4
