ProteinID,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,NoGp_1,NoGp_2,NoGp_3,NoGn_1,NoGn_2,NoGn_3
Q86XP3,250.3,161,191.2,266.8,165.6,225.6,238.7,202.7,177.6,246.3,154.7,166.7,148.9,159.5,154.6
P40189,96.5,89.7,105.9,96.5,130.4,63.2,91.6,106.1,126.8,86.5,135.9,105.7,68.6,76,66.8
O15156,6.5,7.7,9.7,10.2,15.1,4.8,6.2,8,14.2,7.3,7.6,6.8,3.8,2.1,0
Q9H269,47.7,25.3,25.4,50.6,20.1,39.8,40.2,33.3,27.4,38.2,32.3,30.2,46.4,20.1,35.5
Q13151,593.1,444.2,444.1,702.2,371.4,534.1,559.8,550.2,435.7,519.4,342.4,479.4,390.3,389.7,582.4
P42694,74.1,75.5,83.9,70.3,83.6,71.8,76.9,99.2,101.5,81.2,106.1,80.7,24.1,30.6,27.7
Q7L5L3,5.4,12.3,7.9,11.9,9.3,5.6,6.8,12.3,13.6,10.7,13.9,9.8,19.2,34.6,21.6
P06239,44.2,34.4,26.6,56.4,16.9,33,32.3,39.1,16.8,37.5,20.8,27.3,30.3,32.5,28.4
P49116,8,5.9,6.1,7,4.4,3.5,3.6,8.7,4.8,4.4,6.6,10.4,11,12.5,10.4
O60518,204.7,53.6,64.7,106.8,34.2,121.6,120,63.4,41.2,84.7,58.6,94.7,55.9,27.8,33.6
P62487,54.5,26.3,24,75.6,11.4,41.6,55.8,36.1,17.2,32.2,16.2,34.7,25.6,16.7,19.3
Q96HC4,77.5,60.9,49.7,72,55.7,60.9,73.1,76.2,52.4,63.2,69.7,61.9,92,49.5,41.8
Q8TCD1,16.3,29.8,22,33,18,14.8,16,41.9,24.3,21.9,38.8,16.6,7.1,6.1,9.9
Q96T58,626.5,490.3,704.1,560.7,874.7,526.8,692.8,620.2,874.6,777.2,431.3,451.4,191.4,196,183.3
P30405,205.5,225.6,148.7,459,162.5,162.9,169,264.7,199.8,201.3,188.5,147.8,190.9,126.3,146.7
Q8NEF9,979.3,492.7,626.5,487.7,835.8,835.3,1172,535.5,875.5,1082,334,343.2,274,307.8,274.6
Q9UGU0,459.2,417.8,498.6,528,669.9,425.3,541.2,558.5,736.7,578.1,411.2,387,201,286.7,258.4
P61619,69.8,45.7,37,113.8,45,71.9,75.3,70.5,59.5,50,45.4,58.4,51.5,60.6,61
Q6IS14,348.7,176.4,602.9,103.8,527.1,253.4,425.4,198.7,478.4,411,137.7,696,97.3,85.3,103
Q96PV7,263.2,184.8,269.9,205.7,249.9,220.7,239.3,180.2,192,253.5,181.8,260.7,80.8,98.4,85.4
